iter	Passed	Remaining
0	1	181
1	3	152
2	4	149
3	5	138
4	7	134
5	8	131
6	9	127
7	10	126
8	12	123
9	13	121
10	14	119
11	16	117
12	17	114
13	18	112
14	19	110
15	20	108
16	21	106
17	23	105
18	24	104
19	25	103
20	27	103
21	29	102
22	30	101
23	31	101
24	33	99
25	34	98
26	35	97
27	37	96
28	39	95
29	40	94
30	41	93
31	43	92
32	44	91
33	46	89
34	47	89
35	49	87
36	50	86
37	51	84
38	53	83
39	54	81
40	55	80
41	56	78
42	57	76
43	59	75
44	60	74
45	62	72
46	63	71
47	64	70
48	66	68
49	67	67
50	68	66
51	70	64
52	71	63
53	72	61
54	73	60
55	75	58
56	76	57
57	77	56
58	78	54
59	79	53
60	80	51
61	82	50
62	83	48
63	84	47
64	85	46
65	87	44
66	88	43
67	90	42
68	91	41
69	93	39
70	94	38
71	95	37
72	96	35
73	98	34
74	99	33
75	100	31
76	101	30
77	103	29
78	104	27
79	105	26
80	106	25
81	108	23
82	109	22
83	110	21
84	112	19
85	113	18
86	114	17
87	116	15
88	117	14
89	118	13
90	119	11
91	121	10
92	123	9
93	124	7
94	125	6
95	127	5
96	128	3
97	130	2
98	131	1
99	133	0
