iter	Passed	Remaining
0	150	150761
1	153	76749
2	156	52067
3	160	39937
4	162	32319
5	163	27128
6	165	23409
7	166	20655
8	167	18483
9	169	16744
10	170	15324
11	171	14159
12	173	13188
13	175	12358
14	177	11642
15	178	10981
16	179	10402
17	181	9891
18	182	9428
19	184	9037
20	187	8752
21	189	8421
22	191	8113
23	192	7822
24	193	7553
25	195	7310
26	196	7080
27	197	6865
28	199	6667
29	200	6483
30	203	6358
31	204	6194
32	206	6041
33	207	5900
34	208	5761
35	210	5630
36	211	5511
37	213	5400
38	214	5287
39	217	5224
40	219	5128
41	220	5036
42	222	4945
43	223	4855
44	224	4768
45	226	4690
46	227	4621
47	230	4565
48	232	4506
49	233	4445
50	235	4379
51	236	4315
52	238	4254
53	239	4197
54	241	4141
55	242	4087
56	243	4034
57	245	3984
58	246	3934
59	247	3885
60	249	3836
61	250	3789
62	251	3744
63	252	3699
64	254	3656
65	255	3621
66	259	3613
67	261	3578
68	262	3543
69	264	3509
70	266	3483
71	268	3463
72	272	3461
73	274	3431
74	276	3409
75	278	3379
76	279	3355
77	281	3327
78	283	3303
79	285	3278
80	286	3254
81	288	3232
82	289	3199
83	291	3175
84	292	3153
85	294	3129
86	296	3111
87	298	3090
88	300	3071
89	301	3051
90	304	3045
91	306	3024
92	307	3001
93	309	2978
94	310	2961
95	312	2941
96	313	2921
97	315	2899
98	316	2878
99	317	2859
100	319	2842
101	320	2824
102	322	2805
103	323	2786
104	325	2771
105	326	2754
106	327	2736
107	329	2719
108	330	2704
109	332	2687
110	333	2673
111	335	2659
112	337	2645
113	338	2631
114	340	2617
115	341	2601
116	342	2586
117	343	2571
118	345	2556
119	346	2540
120	347	2525
121	348	2510
122	350	2498
123	351	2484
124	353	2471
125	354	2459
126	355	2446
127	357	2435
128	358	2423
129	360	2410
130	361	2399
131	363	2388
132	364	2376
133	365	2365
134	367	2353
135	368	2342
136	370	2332
137	371	2322
138	373	2311
139	374	2300
140	375	2288
141	376	2276
142	378	2267
143	379	2258
144	381	2249
145	385	2253
146	386	2244
147	388	2234
148	389	2225
149	390	2215
150	393	2212
151	398	2222
152	399	2213
153	401	2204
154	402	2195
155	403	2185
156	405	2175
157	406	2166
158	407	2156
159	409	2147
160	410	2137
161	411	2129
162	413	2120
163	414	2111
164	415	2102
165	416	2093
166	417	2084
167	419	2075
168	420	2066
169	421	2059
170	423	2051
171	424	2044
172	426	2036
173	427	2028
174	428	2021
175	430	2014
176	431	2007
177	432	1999
178	434	1993
179	435	1985
180	437	1979
181	439	1974
182	440	1967
183	442	1961
184	443	1953
185	445	1947
186	446	1940
187	447	1933
188	449	1926
189	450	1920
190	451	1913
191	453	1908
192	455	1902
193	456	1897
194	457	1890
195	459	1883
196	460	1877
197	461	1870
198	463	1863
199	464	1856
200	465	1851
201	467	1845
202	468	1840
203	470	1835
204	471	1829
205	473	1823
206	474	1816
207	475	1810
208	476	1803
209	477	1797
210	479	1791
211	480	1786
212	482	1781
213	483	1775
214	485	1771
215	486	1767
216	488	1762
217	489	1755
218	490	1749
219	491	1743
220	493	1737
221	494	1731
222	495	1726
223	496	1721
224	498	1716
225	499	1711
226	500	1705
227	502	1700
228	503	1695
229	504	1690
230	506	1684
231	507	1679
232	508	1674
233	509	1669
234	511	1664
235	512	1658
236	513	1654
237	514	1648
238	516	1643
239	517	1638
240	518	1633
241	519	1627
242	520	1622
243	522	1617
244	523	1612
245	524	1607
246	525	1602
247	526	1597
248	528	1592
249	529	1587
250	530	1582
251	531	1577
252	532	1572
253	533	1568
254	535	1563
255	536	1558
256	537	1553
257	538	1549
258	539	1544
259	541	1540
260	542	1535
261	544	1533
262	547	1534
263	548	1530
264	550	1526
265	551	1521
266	552	1517
267	553	1513
268	555	1509
269	556	1505
270	558	1501
271	559	1497
272	560	1493
273	562	1489
274	563	1485
275	565	1482
276	566	1478
277	567	1474
278	569	1470
279	570	1466
280	571	1462
281	573	1459
282	574	1455
283	575	1451
284	577	1448
285	578	1445
286	580	1441
287	581	1437
288	582	1433
289	584	1430
290	585	1426
291	586	1422
292	587	1418
293	589	1414
294	590	1411
295	591	1407
296	592	1403
297	594	1400
298	595	1396
299	597	1393
300	598	1389
301	599	1385
302	600	1381
303	601	1378
304	603	1374
305	604	1371
306	606	1368
307	607	1365
308	609	1362
309	610	1358
310	611	1354
311	612	1351
312	613	1347
313	615	1343
314	616	1340
315	618	1338
316	620	1336
317	621	1333
318	623	1331
319	625	1329
320	627	1326
321	628	1323
322	630	1320
323	631	1317
324	633	1315
325	634	1311
326	636	1309
327	637	1306
328	639	1303
329	640	1300
